"failures","probs"
1229,"99.8300"
1230,"99.8311"
1231,"99.8321"
1232,"99.8332"
1233,"99.8342"
1234,"99.8353"
1235,"99.8363"
1236,"99.8373"
1237,"99.8384"
1238,"99.8394"
1239,"99.8404"
1240,"99.8414"
1241,"99.8424"
1242,"99.8434"
1243,"99.8444"
1244,"99.8453"
1245,"99.8463"
1246,"99.8473"
1247,"99.8482"
1248,"99.8492"
1249,"99.8501"
1250,"99.8511"
1251,"99.8520"
1252,"99.8529"
1253,"99.8539"
1254,"99.8548"
1255,"99.8557"
1256,"99.8566"
1257,"99.8575"
1258,"99.8584"
1259,"99.8593"
1260,"99.8602"
1261,"99.8611"
1262,"99.8619"
1263,"99.8628"
1264,"99.8637"
1265,"99.8645"
1266,"99.8654"
1267,"99.8662"
1268,"99.8671"
1269,"99.8679"
1270,"99.8687"
1271,"99.8696"
1272,"99.8704"
1273,"99.8712"
1274,"99.8720"
1275,"99.8728"
1276,"99.8736"
1277,"99.8744"
1278,"99.8752"
1279,"99.8760"
1280,"99.8768"
1281,"99.8775"
1282,"99.8783"
1283,"99.8791"
1284,"99.8798"
1285,"99.8806"
1286,"99.8814"
1287,"99.8821"
1288,"99.8828"
1289,"99.8836"
1290,"99.8843"
1291,"99.8850"
1292,"99.8858"
1293,"99.8865"
1294,"99.8872"
1295,"99.8879"
1296,"99.8886"
1297,"99.8893"
1298,"99.8900"
1299,"99.8907"
1300,"99.8914"
1301,"99.8921"
1302,"99.8928"
1303,"99.8935"
1304,"99.8941"
1305,"99.8948"
1306,"99.8955"
1307,"99.8961"
1308,"99.8968"
1309,"99.8974"
1310,"99.8981"
1311,"99.8987"
1312,"99.8994"
1313,"99.9000"
1314,"99.9006"
1315,"99.9012"
1316,"99.9019"
1317,"99.9025"
1318,"99.9031"
1319,"99.9037"
1320,"99.9043"
1321,"99.9049"
1322,"99.9055"
1323,"99.9061"
1324,"99.9067"
1325,"99.9073"
1326,"99.9079"
1327,"99.9085"
1328,"99.9091"
1329,"99.9096"
1330,"99.9102"
1331,"99.9108"
1332,"99.9113"
1333,"99.9119"
1334,"99.9125"
1335,"99.9130"
1336,"99.9136"
1337,"99.9141"
1338,"99.9147"
1339,"99.9152"
1340,"99.9157"
1341,"99.9163"
1342,"99.9168"
1343,"99.9173"
1344,"99.9178"
